fish           : 285
man            : 264
old            : 247
but            : 233
him            : 230
with           : 207
had            : 205
on             : 203
not            : 201
you            : 193
said           : 189
now            : 173
thought        : 165
they           : 152
then           : 150
have           : 144
for            : 140
line           : 138
were           : 138
could          : 116
when           : 106
water          : 105
out            : 104
there          : 102
boy            : 100
at             : 99
all            : 97
them           : 97
would          : 95
from           : 94
do             : 91
will           : 90
hand           : 89
no             : 89
be             : 88
down           : 88
so             : 86
back           : 83
up             : 82
can            : 80
if             : 78
one            : 78
must           : 72
what           : 71
too            : 70
see            : 67
again          : 64
great          : 64
are            : 62
head           : 61
more           : 60
against        : 59
me             : 59
come           : 58
did            : 58
or             : 57
into           : 56
two            : 55
only           : 52
left           : 50
my             : 50
over           : 50
this           : 50
made           : 48
skiff          : 48
sun            : 48
eat            : 47
good           : 47
shark          : 47
time           : 47
much           : 46
saw            : 46
knew           : 45
like           : 45
we             : 45
go             : 44
hands          : 44
think          : 44
been           : 43
get            : 43
dark           : 42
sea            : 42
their          : 42
came           : 41
felt           : 40
let            : 40
well           : 40
boat           : 39
himself        : 39
still          : 39
big            : 38
am             : 37
fast           : 37
looked         : 37
make           : 37
know           : 36
some           : 36
aloud          : 35
how            : 35
very           : 35
went           : 35
where          : 35
after          : 33
before         : 33
bow            : 33
cut            : 33
just           : 33
put            : 33
right          : 33
long           : 32
first          : 31
nothing        : 31
side           : 31
by             : 30
each           : 30
her            : 30
its            : 30
night          : 30
than           : 30
took           : 30
your           : 30
about          : 29
an             : 29
many           : 29
other          : 29
take           : 29
across         : 28
never          : 28
dolphin        : 27
has            : 27
little         : 27
slowly         : 27
under          : 27
because        : 26
bird           : 26
hit            : 26
keep           : 26
through        : 26
who            : 26
day            : 25
held           : 25
off            : 25
pull           : 25
though         : 25
watched        : 25
any            : 24
eyes           : 24
far            : 24
tail           : 24
feel           : 23
light          : 23
small          : 23
something      : 23
started        : 23
stern          : 23
even           : 22
flying         : 22
kill           : 22
strong         : 22
way            : 22
wish           : 22
work           : 22
another        : 21
gone           : 21
lines          : 21
nor            : 21
sail           : 21
should         : 21
until          : 21
around         : 20
away           : 20
better         : 20
bring          : 20
going          : 20
harpoon        : 20
hook           : 20
knife          : 20
once           : 20
remember       : 20
shoulders      : 20
sleep          : 20
don            : 19
heavy          : 19
maybe          : 19
sharks         : 19
without        : 19
almost         : 18
strength       : 18
wood           : 18
asked          : 17
bait           : 17
current        : 17
fishermen      : 17
high           : 17
jaws           : 17
ocean          : 17
perhaps        : 17
pulled         : 17
always         : 16
bed            : 16
breeze         : 16
cannot         : 16
circle         : 16
clear          : 16
deep           : 16
everything     : 16
mast           : 16
sometimes      : 16
steadily       : 16
steady         : 16
surface        : 16
want           : 16
weight         : 16
while          : 16
bad            : 15
both           : 15
coming         : 15
hard           : 15
leaned         : 15
meat           : 15
might          : 15
mouth          : 15
oars           : 15
our            : 15
seen           : 15
since          : 15
strange        : 15
try            : 15
tuna           : 15
turn           : 15
turned         : 15
blue           : 14
coils          : 14
course         : 14
half           : 14
hurt           : 14
morning        : 14
moved          : 14
open           : 14
purple         : 14
rose           : 14
straight       : 14
things         : 14
tried          : 14
which          : 14
air            : 13
enough         : 13
ever           : 13
feet           : 13
fight          : 13
here           : 13
hooked         : 13
onto           : 13
rest           : 13
sardines       : 13
say            : 13
three          : 13
tired          : 13
together       : 13
white          : 13
wide           : 13
wind           : 13
yellow         : 13
arm            : 12
baseball       : 12
brought        : 12
days           : 12
does           : 12
dream          : 12
god            : 12
hold           : 12
hundred        : 12
lay            : 12
luck           : 12
moon           : 12
pain           : 12
part           : 12
road           : 12
rope           : 12
shack          : 12
shoulder       : 12
showed         : 12
sky            : 12
soon           : 12
stay           : 12
strain         : 12
swam           : 12
tell           : 12
tiller         : 12
alone          : 11
although       : 11
began          : 11
blood          : 11
circling       : 11
cold           : 11
face           : 11
feeling        : 11
fresh          : 11
gaff           : 11
hours          : 11
killed         : 11
land           : 11
last           : 11
look           : 11
may            : 11
moving         : 11
point          : 11
same           : 11
such           : 11
thing          : 11
times          : 11
told           : 11
us             : 11
wonder         : 11
asleep         : 10
badly          : 10
between        : 10
boats          : 10
bone           : 10
called         : 10
calm           : 10
club           : 10
early          : 10
except         : 10
eye            : 10
fingers        : 10
heard          : 10
help           : 10
home           : 10
hope           : 10
huge           : 10
inside         : 10
jump           : 10
knows          : 10
negro          : 10
oar            : 10
reached        : 10
rested         : 10
salt           : 10
sorry          : 10
sure           : 10
swung          : 10
terrace        : 10
today          : 10
truly          : 10
baits          : 9
behind         : 9
blade          : 9
body           : 9
carefully      : 9
carried        : 9
coffee         : 9
dead           : 9
dropped        : 9
drove          : 9
eating         : 9
father         : 9
fisherman      : 9
foot           : 9
forward        : 9
gently         : 9
give           : 9
jumped         : 9
lions          : 9
looking        : 9
loved          : 9
moment         : 9
next           : 9
others         : 9
people         : 9
pulling        : 9
reserve        : 9
sailed         : 9
scent          : 9
she            : 9
smell          : 9
spread         : 9
stars          : 9
taken          : 9
tight          : 9
trousers       : 9
used           : 9
why            : 9
worked         : 9
yes            : 9
above          : 8
alive          : 8
along          : 8
alongside      : 8
anything       : 8
ate            : 8
beat           : 8
beautiful      : 8
break          : 8
breaking       : 8
clouds         : 8
cord           : 8
dimaggio       : 8
end            : 8
fathoms        : 8
hemingway      : 8
kept           : 8
lucky          : 8
male           : 8
mine           : 8
new            : 8
passed         : 8
place          : 8
ready          : 8
silver         : 8
sin            : 8
stripes        : 8
swimming       : 8
talk           : 8
toward         : 8
turtles        : 8
weather        : 8
working        : 8
ahead          : 7
also           : 7
anyway         : 7
believe        : 7
below          : 7
beside         : 7
birds          : 7
blanket        : 7
born           : 7
brown          : 7
caught         : 7
closed         : 7
